model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes,lapNumber,trackStatus,rainfall,gapAhead,gapBehind,position,pace_drop_ratio,tire_life_ratio,lapTime,trackTemp,airTemp,humidity,speedTrap,race_progress_pct,failure_type_suggested,context_source_suggested,notes_suggested,review_priority
MOA,excluded_no_match,far_miss_6_plus,2025 :: Austrian Grand Prix,HAM,29,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",29,1,False,0.52,5.9190000000000005,5,1.0164562410329985,0.375,70.847,31.5,22.6,51,305.0,0.4084507042253521,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",3
MOA,excluded_no_match,far_miss_6_plus,2025 :: Mexico City Grand Prix,HAM,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,10.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",37,1,False,0.188,8.377,3,1.0,0.23333333333333334,83.152,45.0,26.4,21,323.0,0.5211267605633803,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",3
MOA,excluded_no_match,far_miss_6_plus,2025 :: Saudi Arabian Grand Prix,STR,20,EXCLUDED,NO_MATCH_WITHIN_HORIZON,19.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",20,1,False,0.41000000000000003,2.33,12,1.0,0.525,95.717,37.7,29.5,64,310.0,0.4,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",3
SDE,excluded_no_match,far_miss_6_plus,2023 :: São Paulo Grand Prix,LAT,46,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",46,1,False,92.089,999.0,18,1.007031948095676,0.4666666666666667,77.762,40.6,21.8,80,306.0,0.647887323943662,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",3
SDE,excluded_no_match,far_miss_6_plus,2024 :: Monaco Grand Prix,STR,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",45,1,False,16.756,3.585,11,1.0032462985830861,0.125,78.806,44.5,21.9,57,279.0,0.5769230769230769,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",3
MOA,excluded_no_match,no_future,2022 :: French Grand Prix,NOR,32,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,No-Future Stop (Unrealized Signal),F1 race report + lap chart + pit-stop summary,No subsequent pit recorded; inspect race context for external events or conservative strategy.,32,1,False,156.308,1.9380000000000002,7,1.0053947567813306,0.35,99.519,57.1,29.9,51,305.0,0.6037735849056604,No-Future Stop (Unrealized Signal),F1 race report + lap chart + pit-stop summary,No subsequent pit recorded; inspect race context for external events or conservative strategy.,2
MOA,excluded_no_match,no_future,2023 :: Saudi Arabian Grand Prix,OCO,30,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,No-Future Stop (Unrealized Signal),F1 race report + lap chart + pit-stop summary,No subsequent pit recorded; inspect race context for external events or conservative strategy.,30,1,False,17.691,105.82,8,1.0041868431625467,0.35,94.978,30.9,26.3,55,301.0,0.6,No-Future Stop (Unrealized Signal),F1 race report + lap chart + pit-stop summary,No subsequent pit recorded; inspect race context for external events or conservative strategy.,2
MOA,excluded_no_match,no_future,2025 :: Hungarian Grand Prix,BOT,56,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",56,1,False,2.185,2.325,12,1.0101014931082712,0.475,84.496,46.6,29.2,32,297.0,0.8,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",2
MOA,excluded_no_match,no_future,2025 :: Mexico City Grand Prix,NOR,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",49,2,False,17.704,146.037,8,1.0046038518090004,0.5333333333333333,83.356,43.6,26.9,20,355.0,0.6901408450704225,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",2
MOA,excluded_no_match,no_future,2025 :: Saudi Arabian Grand Prix,DEV,25,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,No-Future Stop (Unrealized Signal),F1 race report + lap chart + pit-stop summary,No subsequent pit recorded; inspect race context for external events or conservative strategy.,25,1,False,24.112,21.985,16,1.0031451156354183,0.2,95.686,31.0,26.1,55,321.0,0.5,No-Future Stop (Unrealized Signal),F1 race report + lap chart + pit-stop summary,No subsequent pit recorded; inspect race context for external events or conservative strategy.,2
SDE,excluded_no_match,no_future,2022 :: Canadian Grand Prix,MAG,55,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",55,1,False,392.576,77.557,12,1.0366834943494863,1.2,80.909,41.7,21.8,26,313.0,0.7857142857142857,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",2
SDE,excluded_no_match,no_future,2025 :: Azerbaijan Grand Prix,VET,40,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",40,1,False,119.358,145.189,6,1.0,0.8,108.488,45.7,25.1,63,320.0,0.7843137254901961,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",2
SDE,excluded_no_match,no_future,2025 :: French Grand Prix,ZHO,36,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",36,1,False,999.0,999.0,18,1.0100434747604863,0.35,100.366,56.7,30.3,49,302.0,0.6792452830188679,One-Stop Stretch / No Further Stop,F1 race report + lap chart + pit-stop summary,"Model flagged degradation, but strategy committed to no additional stop until finish.",2
